Adjective,Abbreviation
NONE,""
4.4OZ,4.4OZ
4OZ,4OZ
5OZ,5OZ
5.3OZ,5.3OZ
6OZ,6OZ
8OZ,8OZ
12OZ,12OZ
16OZ,16OZ
21.2OZ,21.2OZ
24OZ,24OZ
32OZ,32OZ
40OZ,40OZ
48OZ,48OZ
62.6OZ,63.6OZ
64OZ,64OZ
72OZ,72OZ
5LB,5LB
32LB,32LB
BLNDZ,BLNDZ
BOWL_AND_BASKET,B&B
BISON,BISON
DRIFTWOOD,DRIFT
EXTRA_CREAMY,EXCRMY
FIT_N_FREE,FNF
FRIENDLY_FARMS,FRFM
GIVAT,GIV
GOOD_&_GATHER,G&G
GREAT_VALUE,GV
HEB,HEB
J&J,J&J
KRIMI,KRIMI
KRISPY,KRSP
MEHADRIN,MEHD
MEHADRIN_LEBEN,MEHDLB
MEMBER'S_MARK,MM
NATURE'S_PROMISE,NP
OPEN_NATURE,ON
PANERA,PNRA
SIMPLY_NATURE,SP
SMOOTHIE_KING,SK
TOPS,TOPS
TRADITIONAL_SKYR,SKYR
TRUE_GOODNESS,TG
UPSTATE_FARMS,UPFARMS
WEGMANS,WEG
BLENDED,BLND
CUPSET,CPS
CUPSET_FOB,CPSFOB
GREEK,GRK
GREEK_BLENDED,GRKBLND
GREEK_FOB,GRKFOB
GREEK_LESS SUGAR,GRKLS
ORGANIC,ORG
ORGANIC_CUPSET,ORGCPS
ORGANIC_GREEK,ORGGRK
TRADITIONAL,TRAD
NON-FAT,NF
LOW-FAT,LF
SMALL_CURD,SMLCRD
LARGE_CURD,LRGCRD
WITH_MILK,WM
1%,1%
2%,2%
4%,4%
BANANA_VANILLA,BANVAN
BERRY_MEDLEY,BERMED
BERRY_POMEGRANATE,BERPOM
BLACK_CHERRY,BLKCRY
BLACK_BERRY,BLKBER
BLACK_BOYSENBERRY,BLKBYSBER
BLUE / BILBERRY,BLU/BILBER
BLUEBERRY,BLUBER
BUTTER_BERRY,BUTBER
CAPPUCCINO,CAP
CHERRY_BLACK_CURRANT,CRYBLKCUR
CHERRY_VANILLA,CRYVAN
CHOCOLATE,CHOC
COCONUT,COCO
COFFEE,COF
COOKIE,CKIE
FIELD_BERRY,FLDBER
HONEY,HNY
HONEY_&_APRICOT,HNY&APR
HONEY_VANILLA,HNYVAN
KEY_LIME,KEYLIM
LEMON,LEM
LIME,LIM
MIXED_BERRY,MIXBER
MOCHACCINO,MOCH
ORANGE_CREAM,ORNGCRM
ONION,ONION
PASSIONFRUIT_MANGO,PASFRUMGO
PEACH,PCH
PEACH_CLOUDBERRY,PCHCLDBER
PINACOLADA,PINCLDA
PINEAPPLE,PNAPLE
PLAIN,PLN
POMEGRANATE,PMG
PUMPKIN,PMKN
RASPBERRY,RSPBER
STRAWBERRY,STRBER
STRAWBERRY_BANANA,STRBERBAN
STRAWBERRY_LINGONBERRY,STRLNGBER
TRIPLE_BERRY,TRIBER
VANILLA_HAZELNUT,VANHAZ
VANILLA_OATS,VANOAT
VANILLA_RAINBOW,VANRNB
VANILLA,VAN
VANILLA_MAPLE,VANMAP
VARIETY,VAR
VIENNESE,VSE
